fips,county,state,date,cases,year,population,delta_cases,delta_cases_per_100k
41005,Clackamas,Oregon,2020-03-10,0,2020,422468,0.0,0.0
41005,Clackamas,Oregon,2020-03-11,0,2020,422468,0.0,0.0
41005,Clackamas,Oregon,2020-03-12,1,2020,422468,1.0,0.23670431843358547
41005,Clackamas,Oregon,2020-03-13,1,2020,422468,0.0,0.0
41005,Clackamas,Oregon,2020-03-14,1,2020,422468,0.0,0.0
41005,Clackamas,Oregon,2020-03-15,1,2020,422468,0.0,0.0
41005,Clackamas,Oregon,2020-03-16,1,2020,422468,0.0,0.0
41005,Clackamas,Oregon,2020-03-17,6,2020,422468,5.0,1.1835215921679274
41005,Clackamas,Oregon,2020-03-18,6,2020,422468,0.0,0.0
41005,Clackamas,Oregon,2020-03-19,6,2020,422468,0.0,0.0
41005,Clackamas,Oregon,2020-03-20,10,2020,422468,4.0,0.9468172737343419
41005,Clackamas,Oregon,2020-03-21,11,2020,422468,1.0,0.23670431843358547
41005,Clackamas,Oregon,2020-03-22,12,2020,422468,1.0,0.23670431843358547
41005,Clackamas,Oregon,2020-03-23,14,2020,422468,2.0,0.47340863686717094
41005,Clackamas,Oregon,2020-03-24,17,2020,422468,3.0,0.7101129553007566
41005,Clackamas,Oregon,2020-03-25,21,2020,422468,4.0,0.9468172737343419
41005,Clackamas,Oregon,2020-03-26,21,2020,422468,0.0,0.0
41005,Clackamas,Oregon,2020-03-27,31,2020,422468,10.0,2.367043184335855
41005,Clackamas,Oregon,2020-03-28,36,2020,422468,5.0,1.1835215921679274
41005,Clackamas,Oregon,2020-03-29,39,2020,422468,3.0,0.7101129553007566
41005,Clackamas,Oregon,2020-03-30,40,2020,422468,1.0,0.23670431843358547
41005,Clackamas,Oregon,2020-03-31,50,2020,422468,10.0,2.367043184335855
41005,Clackamas,Oregon,2020-04-01,56,2020,422468,6.0,1.4202259106015132
41005,Clackamas,Oregon,2020-04-02,61,2020,422468,5.0,1.1835215921679274
41005,Clackamas,Oregon,2020-04-03,66,2020,422468,5.0,1.1835215921679274
41005,Clackamas,Oregon,2020-04-04,66,2020,422468,0.0,0.0
41005,Clackamas,Oregon,2020-04-05,84,2020,422468,18.0,4.260677731804539
41005,Clackamas,Oregon,2020-04-06,84,2020,422468,0.0,0.0
41005,Clackamas,Oregon,2020-04-07,90,2020,422468,6.0,1.4202259106015132
41005,Clackamas,Oregon,2020-04-08,97,2020,422468,7.0,1.6569302290350985
41005,Clackamas,Oregon,2020-04-09,109,2020,422468,12.0,2.8404518212030263
41005,Clackamas,Oregon,2020-04-10,109,2020,422468,0.0,0.0
41005,Clackamas,Oregon,2020-04-11,116,2020,422468,7.0,1.6569302290350985
41005,Clackamas,Oregon,2020-04-12,125,2020,422468,9.0,2.1303388659022695
41005,Clackamas,Oregon,2020-04-13,132,2020,422468,7.0,1.6569302290350985
41005,Clackamas,Oregon,2020-04-14,135,2020,422468,3.0,0.7101129553007566
41005,Clackamas,Oregon,2020-04-15,142,2020,422468,7.0,1.6569302290350985
41005,Clackamas,Oregon,2020-04-16,150,2020,422468,8.0,1.8936345474686838
41005,Clackamas,Oregon,2020-04-17,153,2020,422468,3.0,0.7101129553007566
41005,Clackamas,Oregon,2020-04-18,154,2020,422468,1.0,0.23670431843358547
41005,Clackamas,Oregon,2020-04-19,161,2020,422468,7.0,1.6569302290350985
41005,Clackamas,Oregon,2020-04-20,171,2020,422468,10.0,2.367043184335855
41005,Clackamas,Oregon,2020-04-21,173,2020,422468,2.0,0.47340863686717094
41005,Clackamas,Oregon,2020-04-22,183,2020,422468,10.0,2.367043184335855
41005,Clackamas,Oregon,2020-04-23,191,2020,422468,8.0,1.8936345474686838
41005,Clackamas,Oregon,2020-04-24,196,2020,422468,5.0,1.1835215921679274
41005,Clackamas,Oregon,2020-04-25,201,2020,422468,5.0,1.1835215921679274
41005,Clackamas,Oregon,2020-04-26,204,2020,422468,3.0,0.7101129553007566
41005,Clackamas,Oregon,2020-04-27,204,2020,422468,0.0,0.0
41005,Clackamas,Oregon,2020-04-28,205,2020,422468,1.0,0.23670431843358547
41005,Clackamas,Oregon,2020-04-29,206,2020,422468,1.0,0.23670431843358547
41005,Clackamas,Oregon,2020-04-30,214,2020,422468,8.0,1.8936345474686838
41005,Clackamas,Oregon,2020-05-01,222,2020,422468,8.0,1.8936345474686838
41005,Clackamas,Oregon,2020-05-02,224,2020,422468,2.0,0.47340863686717094
41005,Clackamas,Oregon,2020-05-03,225,2020,422468,1.0,0.23670431843358547
41005,Clackamas,Oregon,2020-05-04,226,2020,422468,1.0,0.23670431843358547
41005,Clackamas,Oregon,2020-05-05,231,2020,422468,5.0,1.1835215921679274
41005,Clackamas,Oregon,2020-05-06,235,2020,422468,4.0,0.9468172737343419
41005,Clackamas,Oregon,2020-05-07,241,2020,422468,6.0,1.4202259106015132
41005,Clackamas,Oregon,2020-05-08,250,2020,422468,9.0,2.1303388659022695
41005,Clackamas,Oregon,2020-05-09,256,2020,422468,6.0,1.4202259106015132
41005,Clackamas,Oregon,2020-05-10,266,2020,422468,10.0,2.367043184335855
41005,Clackamas,Oregon,2020-05-11,268,2020,422468,2.0,0.47340863686717094
41005,Clackamas,Oregon,2020-05-12,274,2020,422468,6.0,1.4202259106015132
41005,Clackamas,Oregon,2020-05-13,274,2020,422468,0.0,0.0
41005,Clackamas,Oregon,2020-05-14,271,2020,422468,-3.0,-0.7101129553007566
41005,Clackamas,Oregon,2020-05-15,277,2020,422468,6.0,1.4202259106015132
41005,Clackamas,Oregon,2020-05-16,281,2020,422468,4.0,0.9468172737343419
41005,Clackamas,Oregon,2020-05-17,281,2020,422468,0.0,0.0
41005,Clackamas,Oregon,2020-05-18,286,2020,422468,5.0,1.1835215921679274
41005,Clackamas,Oregon,2020-05-19,284,2020,422468,-2.0,-0.47340863686717094
41005,Clackamas,Oregon,2020-05-20,284,2020,422468,0.0,0.0
41005,Clackamas,Oregon,2020-05-21,284,2020,422468,0.0,0.0
41005,Clackamas,Oregon,2020-05-22,289,2020,422468,5.0,1.1835215921679274
41005,Clackamas,Oregon,2020-05-23,290,2020,422468,1.0,0.23670431843358547
41005,Clackamas,Oregon,2020-05-24,290,2020,422468,0.0,0.0
41005,Clackamas,Oregon,2020-05-25,294,2020,422468,4.0,0.9468172737343419
41005,Clackamas,Oregon,2020-05-26,296,2020,422468,2.0,0.47340863686717094
41005,Clackamas,Oregon,2020-05-27,300,2020,422468,4.0,0.9468172737343419
41005,Clackamas,Oregon,2020-05-28,304,2020,422468,4.0,0.9468172737343419
41005,Clackamas,Oregon,2020-05-29,305,2020,422468,1.0,0.23670431843358547
41005,Clackamas,Oregon,2020-05-30,306,2020,422468,1.0,0.23670431843358547
41005,Clackamas,Oregon,2020-05-31,312,2020,422468,6.0,1.4202259106015132
41005,Clackamas,Oregon,2020-06-01,317,2020,422468,5.0,1.1835215921679274
41005,Clackamas,Oregon,2020-06-02,317,2020,422468,0.0,0.0
41005,Clackamas,Oregon,2020-06-03,324,2020,422468,7.0,1.6569302290350985
41005,Clackamas,Oregon,2020-06-04,333,2020,422468,9.0,2.1303388659022695
41005,Clackamas,Oregon,2020-06-05,339,2020,422468,6.0,1.4202259106015132
41005,Clackamas,Oregon,2020-06-06,339,2020,422468,0.0,0.0
41005,Clackamas,Oregon,2020-06-07,346,2020,422468,7.0,1.6569302290350985
41005,Clackamas,Oregon,2020-06-08,377,2020,422468,31.0,7.33783387144115
41005,Clackamas,Oregon,2020-06-09,393,2020,422468,16.0,3.7872690949373675
41005,Clackamas,Oregon,2020-06-10,399,2020,422468,6.0,1.4202259106015132
41005,Clackamas,Oregon,2020-06-11,446,2020,422468,47.0,11.125102966378519
41005,Clackamas,Oregon,2020-06-12,455,2020,422468,9.0,2.1303388659022695
41005,Clackamas,Oregon,2020-06-13,455,2020,422468,0.0,0.0
41005,Clackamas,Oregon,2020-06-14,482,2020,422468,27.0,6.391016597706808
41005,Clackamas,Oregon,2020-06-15,488,2020,422468,6.0,1.4202259106015132
41005,Clackamas,Oregon,2020-06-16,509,2020,422468,21.0,4.970790687105295
41005,Clackamas,Oregon,2020-06-17,526,2020,422468,17.0,4.023973413370954
41005,Clackamas,Oregon,2020-06-18,538,2020,422468,12.0,2.8404518212030263
41005,Clackamas,Oregon,2020-06-19,561,2020,422468,23.0,5.444199323972467
41005,Clackamas,Oregon,2020-06-20,580,2020,422468,19.0,4.497382050238125
41005,Clackamas,Oregon,2020-06-21,592,2020,422468,12.0,2.8404518212030263
41005,Clackamas,Oregon,2020-06-22,607,2020,422468,15.0,3.550564776503782
41005,Clackamas,Oregon,2020-06-23,632,2020,422468,25.0,5.9176079608396375
41005,Clackamas,Oregon,2020-06-24,640,2020,422468,8.0,1.8936345474686838
41005,Clackamas,Oregon,2020-06-25,648,2020,422468,8.0,1.8936345474686838
41005,Clackamas,Oregon,2020-06-26,665,2020,422468,17.0,4.023973413370954
41005,Clackamas,Oregon,2020-06-27,681,2020,422468,16.0,3.7872690949373675
41005,Clackamas,Oregon,2020-06-28,699,2020,422468,18.0,4.260677731804539
41005,Clackamas,Oregon,2020-06-29,716,2020,422468,17.0,4.023973413370954
41005,Clackamas,Oregon,2020-06-30,733,2020,422468,17.0,4.023973413370954
41005,Clackamas,Oregon,2020-07-01,751,2020,422468,18.0,4.260677731804539
41005,Clackamas,Oregon,2020-07-02,773,2020,422468,22.0,5.207495005538881
41005,Clackamas,Oregon,2020-07-03,795,2020,422468,22.0,5.207495005538881
41005,Clackamas,Oregon,2020-07-04,821,2020,422468,26.0,6.154312279273223
41005,Clackamas,Oregon,2020-07-05,845,2020,422468,24.0,5.680903642406053
41005,Clackamas,Oregon,2020-07-06,861,2020,422468,16.0,3.7872690949373675
41005,Clackamas,Oregon,2020-07-07,877,2020,422468,16.0,3.7872690949373675
41005,Clackamas,Oregon,2020-07-08,894,2020,422468,17.0,4.023973413370954
41005,Clackamas,Oregon,2020-07-09,914,2020,422468,20.0,4.73408636867171
41005,Clackamas,Oregon,2020-07-10,925,2020,422468,11.0,2.6037475027694406
41005,Clackamas,Oregon,2020-07-11,955,2020,422468,30.0,7.101129553007564
41005,Clackamas,Oregon,2020-07-12,987,2020,422468,32.0,7.574538189874735
41005,Clackamas,Oregon,2020-07-13,1006,2020,422468,19.0,4.497382050238125
41005,Clackamas,Oregon,2020-07-14,1027,2020,422468,21.0,4.970790687105295
